set,question,exercise,topic,chatgpt,copilot,gemini,answer
2019aug,1,1,2,3,2,1,3
2019aug,2,1,3,1,0,0,1
2019aug,3,2,4,4,4,2,4
2019aug,4,2,2,4,5,4,5
2019aug,5,2,2,2,2,2,2
2019aug,6,3,2,4,4,2,4
2019aug,7,3,4,2,5,2,3
2019aug,8,4,7,3,3,3,3
2019aug,9,4,7,3,1,2,1
2019aug,10,4,7,1,4,1,4
2019aug,11,4,7,3,5,4,5
2019aug,12,4,7,3,3,4,3
2019aug,13,5,2,3,3,3,3
2019aug,14,5,2,5,5,4,5
2019aug,15,6,8,1,0,1,1
2019aug,16,7,8,2,0,0,2
2019aug,17,7,8,3,3,0,3
2019aug,18,8,5,4,4,4,4
2019aug,19,8,5,3,5,5,3
2019aug,20,8,5,5,5,3,4
2019aug,21,8,5,2,2,0,2
2019aug,22,8,6,4,5,1,5
2019aug,23,9,3,3,3,3,1
2019aug,24,9,3,2,4,0,1
2019aug,25,9,3,3,3,3,1
2019aug,26,9,3,2,0,2,4
2019aug,27,10,8,2,2,2,2
2019aug,28,11,8,4,4,4,4
2019aug,29,12,5,2,1,4,5
2019aug,30,12,8,4,2,4,2
