set,question,exercise,topic,chatgpt,copilot,gemini,answer
2023jun,1,1,8,5,2,5,2
2023jun,2,1,8,1,3,1,3
2023jun,3,2,2,1,1,1,1
2023jun,4,2,4,1,1,4,4
2023jun,5,3,3,5,5,3,5
2023jun,6,3,3,5,5,3,5
2023jun,7,4,7,2,2,4,2
2023jun,8,4,7,5,5,5,5
2023jun,9,4,7,3,0,3,1
2023jun,10,4,7,2,1,5,2
2023jun,11,5,2,5,5,2,5
2023jun,12,5,2,1,1,3,1
2023jun,13,5,2,5,1,1,1
2023jun,14,6,3,3,2,3,2
2023jun,15,6,3,2,4,3,5
2023jun,16,6,3,3,3,4,3
2023jun,17,7,6,5,2,1,5
2023jun,18,7,6,2,2,2,2
2023jun,19,7,6,0,5,5,5
2023jun,20,7,6,2,0,3,5
2023jun,21,8,5,2,1,3,1
2023jun,22,8,5,5,0,0,3
2023jun,23,9,8,3,3,3,3
2023jun,24,9,8,4,4,5,5
2023jun,25,9,8,1,1,1,1
2023jun,26,10,1,4,1,2,4
2023jun,27,10,3,3,1,5,1
2023jun,28,10,3,4,4,4,4
2023jun,29,11,2,2,2,2,2
2023jun,30,11,2,5,5,4,5
