set;question;exercise;topic;chatgpt;copilot;gemini;answer
1. december 2020;1;1;1;;;;2
1. december 2020;2;2;7;2;1;1;2
1. december 2020;3;2;3;5;3;4;3
1. december 2020;4;2;3;4;2;0;4
1. december 2020;5;2;3;1;5;0;5
1. december 2020;6;2;3;2;2;5;2
1. december 2020;7;3;5;3;5;5;5
1. december 2020;8;3;5;3;3;5;3
1. december 2020;9;4;3;4;4;5;4
1. december 2020;10;4;3;2;1;3;2
1. december 2020;11;4;5;3;3;3;3
1. december 2020;12;5;2;1;2;3;2
1. december 2020;13;5;2;4;4;3;4
1. december 2020;14;5;4;1;1;5;1
1. december 2020;15;6;4;4;4;1;4
1. december 2020;16;6;4;4;1;1;1
1. december 2020;17;7;2;4;2;1;3
1. december 2020;18;7;2;2;1;3;3
1. december 2020;19;7;2;5;1;4;2
1. december 2020;20;8;1;4;4;4;4
1. december 2020;21;8;2;2;1;4;4
1. december 2020;22;9;3;1;5;3;5
1. december 2020;23;9;3;3;5;3;4
1. december 2020;24;9;3;2;3;2;3
1. december 2020;25;9;3;1;1;1;1
1. december 2020;26;10;8;2;4;0;4
1. december 2020;27;10;8;4;1;1;1
1. december 2020;28;10;8;2;1;4;2
1. december 2020;29;10;8;1;4;1;4
1. december 2020;30;10;8;2;5;3;3
